Strain,Experiment,Source,Mouse,Vaccination_status,Lung_CFU,Spleen_CFU,Cell number,CD3_prestim,CD4_prestim,CD8_prestim,CD4neg_CD8neg_prestim,CD3neg_prestim,CD4_Tbet,CD4_Foxp3,CD4_RoRgt,CD4_Tbet_RoRgt,CD4_CD11a,CD4_aCD3_IFNg,CD4_p300_IFNg,CD4_media3_IFNg,CD8_aCD3_IFNg,CD8_p300_IFNg,CD8_media3_IFNg,CD4_aCD3_TNF,CD4_p300_TNF,CD4_media_TNF,CD4_aCD3_IL2,CD4_p300_IL2,CD4_media_IL2,CD4_aCD3_IL17,CD4_p300_IL17,CD4_media_IL17,CD4_aCD3_IFNg_IL17,CD4_p300_IFNg_IL17,CD4_media_IFNg_IL17,CD4_aCD3_IFNg_TNF_IL2,CD4_p300_IFNg_TNF_IL2,CD4_media_IFNg_TNF_IL2,CD4_aCD3_TNF_IL2,CD4_p300_TNF_IL2,CD4_media_TNF_IL2
CC032,RL-03,UNC,1,0,6.093421685,4.819543936,26672268.91,0.259,0.713,0.0687,0.0295,0.717,0.287,0.0297,0.0085,0.0033,0.22,0.232,0.053,0.0202,0.29,0.129,0.0124,0.0566,0.0215,0.0185,0.0257,0.006,0.0076,0.0299,0.0081,0.0065,0.0117,0.002,0,0.0094,0.002,0,0.0196,0.004,0.0016
CC032,RL-03,UNC,2,0,5.954242509,2.954242509,15882352.94,0.325,0.714,0.0577,0.034,0.656,0.228,0.0346,0.0151,0.0023,0.268,0.135,0.0259,0.0114,0.152,0.0241,0.0039,0.0168,0.0152,0.0135,0.0223,0.0021,0.0021,0.0123,0.0053,0.0042,0.0036,0.0004,0,0.0059,0.0004,0,0.0114,0.0012,0.0006
CC032,RL-03,UNC,3,0,5.614193905,2.873126764,20420168.07,0.329,0.754,0.0828,0.0277,0.65,0.135,0.0156,0.0087,0.001,0.14,0.104,0.0135,0.0098,0.187,0.0444,0,0.0329,0.008,0.0034,0.0171,0.0055,0.0059,0.0155,0.0018,0.0025,0.0067,0,0,0.0036,0.0007,0,0.0111,0.0022,0.001
CC032,RL-03,UNC,4,0,6.260071388,3.276461804,19820168.07,0.233,0.67,0.0577,0.0573,0.745,0.194,0.0497,0.0108,0.0033,0.316,0.125,0.0203,0.0044,0.283,0.125,0.0737,0.0188,0.0184,0.0032,0.0182,0.0046,0.0008,0.0115,0.0078,0.0028,0.0028,0.0005,0,0.0044,0.0023,0,0.0107,0.0028,0
CC032,RL-03,UNC,5,0,6.63748973,4.857332496,27418487.39,0.281,0.649,0.0771,0.0416,0.696,0.29,0.0445,0.0187,0.0055,0.258,0.156,0.0452,0.0071,0.208,0.14,0.0538,0.0095,0.0226,0.0003,0.0064,0.0401,0.0014,0.0095,0.009,0.0024,0.0048,0.0019,0,0,0.0012,0,0.0048,0.0047,0.0003
CC032,RL-03,UNC,6,1,5.29666519,3.290034611,27544537.82,0.246,0.737,0.0496,0.0418,0.735,0.124,0.0501,0.0123,0.003,0.169,0.0856,0.0221,0.0017,0.103,0.0133,0.0157,0.0241,0.0126,0.0004,0.0214,0.0049,0.0004,0.0128,0.006,0.0013,0.0033,0.0014,0,0.0051,0.0004,0,0.015,0.0011,0
CC032,RL-03,UNC,7,1,5.037426498,3.15330662,28477310.92,0.276,0.751,0.0744,0.0478,0.708,0.175,0.0313,0.0163,0.0021,0.246,0.162,0.0302,0.001,0.138,0.0266,0.011,0.0522,0.0186,0.001,0.031,0.0055,0.001,0.0269,0.007,0.0043,0.0115,0.001,0,0.012,0.0015,0,0.0269,0.0045,0
CC032,RL-03,UNC,8,1,4.643452676,2.956648579,18050420.17,0.332,0.717,0.0988,0.0751,0.644,0.121,0.0398,0.0358,0.0067,0.441,0.104,0.021,0.0018,0.158,0.0283,0.0175,0.0442,0.0055,0.0018,0.0306,0.0016,0.0018,0.0399,0.0039,0.0036,0.0105,0,0.0006,0.0105,0.0016,0,0.0247,0.0016,0
CC032,RL-03,UNC,9,1,4.643452676,1.812913357,19184873.95,0.284,0.786,0.062,0.042,0.699,0.127,0.0341,0.013,0.0028,0.161,0.0877,0.0151,0.0033,0.1,0.023,0,0.0304,0.0144,0.008,0.0269,0.0048,0.004,0.0162,0.0052,0.0047,0.0069,0.0011,0,0.0104,0.0007,0,0.0189,0.0015,0.0007
CC032,RL-03,UNC,10,1,5.127104798,2.290034611,23672268.91,0.111,0.536,0.0286,0.127,0.873,0.361,0.0941,0.0399,0.01,0.298,0.375,0.0946,0.0165,0.271,0.0321,0.0435,0.119,0.0835,0.054,0.0586,0.0183,0.0073,0.0688,0.0359,0.0192,0.0338,0.0072,0,0.0282,0.0098,0,0.0524,0.0176,0.0037
CC023,RL-03,UNC,11,0,8.797959644,4.607455023,35571428.57,0.105,0.267,0.0114,0.22,0.885,0.307,0.022,0.0064,0.0014,0.268,0.672,0.289,0.136,0.767,0.903,0.812,0.153,0.0444,0.0037,0.0354,0.0108,0.0012,0.0943,0.0538,0.0172,0.0696,0.0296,0.0037,0.0248,0.0067,0,0.0366,0.0121,0.0012
CC023,RL-03,UNC,12,0,8.625312451,4.574031268,25426890.76,0.0539,0.357,0.0182,0.184,0.941,0.128,0.0315,0.0035,0.0004,0.485,0.623,0.304,0.153,0.78,0.905,0.812,0.156,0.0566,0.022,0.0491,0.0283,0,0.114,0.0623,0.0529,0.0633,0.0321,0.0117,0.0245,0.0113,0,0.0401,0.017,0
CC023,RL-03,UNC,13,0,7.64738297,4.736396502,15968067.23,0.142,0.444,0.0356,0.269,0.849,0.285,0.0471,0.0298,0.0038,0.154,0.325,0.215,0.0616,0.679,0.521,0.778,0.13,0.0659,0.0013,0.0736,0.0256,0,0.0658,0.0434,0.0063,0.0444,0.0248,0.0005,0.0264,0.0178,0,0.059,0.024,0
CC023,RL-03,UNC,14,0,8.049218023,5.146128036,26712605.04,0.146,0.381,0.0349,0.313,0.844,0.242,0.0693,0.0287,0.005,0.213,0.518,0.282,0.131,0.869,0.929,0.928,0.187,0.0854,0.0029,0.0998,0.023,0.0011,0.107,0.0703,0.0371,0.0734,0.0381,0.0051,0.0462,0.0152,0,0.0899,0.022,0
CC023,RL-03,UNC,15,0,8.773786445,5.273001272,23954621.85,0.076,0.402,0.0219,0.288,0.917,0.257,0.0316,0.0018,0,0.355,0.581,0.218,0.102,0.799,0.916,0.845,0.132,0.0428,0,0.0289,0.0078,0.0008,0.112,0.0646,0.0349,0.0832,0.0241,0.0024,0.0085,0.0016,0,0.0255,0.0078,0
CC023,RL-03,UNC,16,1,6.982271233,2.716003344,33342857.14,0.246,0.601,0.069,0.139,0.743,0.186,0.0827,0.0395,0.0046,0.166,0.182,0.0512,0.006,0.217,0.0326,0,0.124,0.0129,0,0.101,0.0086,0,0.0888,0.0172,0.0038,0.0301,0.0081,0,0.0291,0.0027,0,0.0805,0.0059,0
CC023,RL-03,UNC,17,1,6.897627091,4.537819095,17858823.53,0.162,0.615,0.0387,0.203,0.827,0.2,0.0695,0.0185,0.0021,0.169,0.274,0.102,0.0548,0.38,0.162,0.0722,0.101,0.0328,0.0099,0.0756,0.0097,0.0012,0.068,0.0173,0.0051,0.0365,0.0113,0.0012,0.0253,0.0062,0.0004,0.0627,0.0099,0.0014
CC023,RL-03,UNC,18,1,8.380211242,3.774516966,38309243.7,0.146,0.286,0.0281,0.508,0.844,0.157,0.0535,0.0227,0.0027,0.18,0.408,0.15,0.0457,0.701,0.797,0.921,0.15,0.0552,0.0084,0.0439,0.0123,0.0012,0.133,0.0582,0.0349,0.083,0.0276,0.0024,0.0217,0.0082,0,0.0415,0.0112,0
CC023,RL-03,UNC,19,1,5.880813592,2.774516966,19119327.73,0.322,0.648,0.0637,0.0929,0.668,0.111,0.0682,0.0444,0.0051,0.146,0.141,0.05,0.0094,0.202,0.034,0,0.0864,0.029,0.0003,0.073,0.0136,0.002,0.0766,0.0383,0.0051,0.0356,0.0216,0.0011,0.0236,0.008,0,0.0617,0.013,0.0009
CC023,RL-03,UNC,20,1,7.880813592,3.187520721,22436974.79,0.271,0.655,0.0777,0.09,0.717,0.183,0.0551,0.0505,0.0098,0.245,0.243,0.0951,0.0325,0.221,0.075,0.0401,0.107,0.0322,0.0035,0.0778,0.0128,0.0023,0.0814,0.0334,0.0085,0.0513,0.0182,0.0012,0.0301,0.006,0.0006,0.0634,0.0119,0.0006
CC061,RL-03,UNC,21,0,5.049218023,3.534660576,17662184.87,0.233,0.669,0.159,0.04,0.757,0.119,0.0632,0.0175,0.0011,0.351,0.224,0.0713,0.0219,0.246,0.0489,0.0463,0.0877,0.0196,0.0037,0.0708,0.0155,0.0008,0.0579,0.0065,0.0022,0.0171,0.0021,0,0.0243,0.0062,0,0.0586,0.0124,0.0003
CC061,RL-03,UNC,22,0,5.799340549,4.770852012,18005042.02,0.256,0.639,0.139,0.0328,0.734,0.157,0.0566,0.0218,0.0045,0.355,0.238,0.0736,0.0145,0.315,0.0645,0.0254,0.062,0.0128,0.0011,0.0775,0.0117,0.0014,0.0391,0.0055,0.0018,0.0066,0.0007,0,0.0214,0.0044,0,0.0583,0.0092,0.0004
CC061,RL-03,UNC,23,0,5.390935107,2.447158031,5157983.193,0.207,0.569,0.188,0.0601,0.784,0.0913,0.0697,0.0148,0.0021,0.463,0.162,0.0365,0.0122,0.174,0.0309,0.0299,0.0564,0.008,0.0028,0.0841,0.0065,0.0004,0.0396,0.0028,0.0018,0.0074,0.0001,0.0002,0.021,0.0019,0,0.0609,0.0046,0.0002
CC061,RL-03,UNC,24,0,5.672097858,4.736396502,27312605.04,0.289,0.655,0.151,0.0578,0.695,0.156,0.0563,0.026,0.0029,0.449,0.2,0.0709,0.0251,0.174,0.0278,0.0155,0.0759,0.0166,0.0002,0.0622,0.0094,0.0024,0.0533,0.0069,0.0005,0.0121,0.0019,0,0.0211,0.0055,0,0.0533,0.0083,0
CC061,RL-03,UNC,25,0,6.544894485,4.556302501,15625210.08,0.276,0.687,0.155,0.0312,0.711,0.213,0.0488,0.0205,0.0032,0.376,0.0775,0.0189,0.0141,0.133,0.015,0,0.0298,0.0043,0.0033,0.0268,0.0026,0.0023,0.0213,0.0014,0.0003,0.003,0.0002,0,0.0046,0,0,0.0192,0.0004,0.0003
CC061,RL-03,UNC,26,1,5.022565828,3.495544338,20626890.76,0.27,0.685,0.158,0.0309,0.719,0.129,0.0476,0.0138,0.0019,0.293,0.289,0.0899,0.011,0.167,0.0267,0.0156,0.109,0.0297,0.0012,0.0553,0.0104,0.0007,0.0619,0.013,0.0029,0.0192,0.0074,0,0.025,0.005,0,0.0502,0.008,0.0002
CC061,RL-03,UNC,27,1,4.857332496,2.667452953,23626890.76,0.267,0.668,0.152,0.0389,0.721,0.142,0.044,0.0145,0.0035,0.266,0.262,0.0686,0.027,0.129,0.0065,0.0139,0.0736,0.0273,0.0138,0.0326,0.0049,0.0092,0.0388,0.0122,0.0017,0.0098,0.0016,0,0.013,0.0016,0,0.0275,0.0037,0.0034
CC061,RL-03,UNC,28,1,4.740362689,1.602059991,23178151.26,0.239,0.675,0.156,0.0312,0.75,0.143,0.0573,0.014,0.0014,0.34,0.288,0.0702,0.019,0.0902,0.0067,0.0072,0.109,0.0254,0.0044,0.0353,0.0128,0.0011,0.0594,0.0097,0.0022,0.0249,0.004,0,0.0191,0.0038,0,0.0321,0.0062,0.0004
CC061,RL-03,UNC,29,1,4.278753601,1.602059991,30100840.34,0.319,0.682,0.125,0.0256,0.668,0.174,0.0601,0.0282,0.0079,0.361,0.316,0.0926,0.0218,0.161,0.0236,0.0157,0.143,0.0323,0.0051,0.0789,0.0173,0.0013,0.0984,0.0156,0.0015,0.0462,0.0069,0.0000832,0.0425,0.0086,0.0003,0.0739,0.0154,0.0004
CC061,RL-03,UNC,30,1,4.908485019,2.781755375,32031932.77,0.378,0.712,0.144,0.0196,0.611,0.124,0.0446,0.0241,0.0047,0.366,0.181,0.0574,0.0157,0.142,0.0158,0.0175,0.0611,0.0123,0.0037,0.0304,0.0065,0.0022,0.0359,0.0091,0.0026,0.013,0.0036,0.0004,0.0142,0.0033,0.0004,0.0288,0.0051,0.0004
CC037,RL-03,UNC,31,0,6.678214783,3.829303773,23889075.63,0.22,0.637,0.162,0.0372,0.772,0.166,0.0297,0.0232,0.0103,0.343,0.439,0.212,0.0785,0.373,0.0696,0.049,0.215,0.0793,0.0194,0.0767,0.0331,0.001,0.123,0.0304,0.005,0.0664,0.0132,0.0002,0.0525,0.0236,0.0002,0.077,0.0327,0.0007
CC037,RL-03,UNC,32,0,6.698970004,3.729704621,33443697.48,0.21,0.614,0.168,0.0456,0.782,0.161,0.0298,0.0128,0.0051,0.517,0.39,0.183,0.0517,0.392,0.0989,0.0998,0.147,0.0593,0.0088,0.0479,0.0223,0.0014,0.0803,0.0268,0.002,0.04,0.0132,0.0004,0.0303,0.0144,0.0002,0.047,0.0222,0.0003
CC037,RL-03,UNC,33,0,6.596597096,3.511883361,30332773.11,0.241,0.691,0.15,0.036,0.749,0.202,0.0324,0.0273,0.0139,0.444,0.444,0.141,0.0602,0.317,0.0425,0.0369,0.178,0.0608,0.0247,0.0611,0.0177,0.001,0.108,0.0264,0.0041,0.0535,0.0121,0.0009,0.0397,0.0126,0.0003,0.0612,0.0178,0.0009
CC037,RL-03,UNC,34,0,6.748188027,3.875061263,30468907.56,0.302,0.635,0.181,0.0332,0.688,0.168,0.0254,0.0198,0.0082,0.433,0.392,0.15,0.0731,0.347,0.0348,0.0242,0.116,0.0559,0.0192,0.0357,0.0136,0.002,0.0588,0.0203,0.0034,0.0246,0.009,0.0005,0.021,0.0094,0.0002,0.0343,0.0136,0.0006
CC037,RL-03,UNC,35,0,6.247154615,3.785329835,22492436.97,0.365,0.626,0.211,0.0243,0.623,0.151,0.0233,0.0235,0.0081,0.377,0.219,0.137,0.0396,0.342,0.0852,0.0319,0.0737,0.0557,0.0106,0.0272,0.0125,0.0014,0.0375,0.0322,0.0022,0.0174,0.0143,0.0000817,0.013,0.0095,0.0000817,0.0239,0.0128,0.0007
CC037,RL-03,UNC,36,1,5.309630167,2.130333768,44107563.03,0.189,0.619,0.192,0.046,0.806,0.086,0.0434,0.0862,0.0188,0.437,0.354,0.164,0.0317,0.212,0.0363,0.0332,0.141,0.0889,0.0167,0.0667,0.0344,0.0012,0.174,0.0891,0.0089,0.11,0.0569,0.0021,0.0381,0.0253,0,0.0617,0.0345,0.0002
CC037,RL-03,UNC,37,1,4.934498451,2.921686475,7527731.092,0.297,0.717,0.149,0.0245,0.694,0.0925,0.0245,0.048,0.0149,0.398,0.258,0.133,0.0225,0.217,0.0979,0.0892,0.104,0.0717,0.0059,0.0502,0.0638,0.0005,0.107,0.0702,0.0034,0.0715,0.0497,0.0007,0.0295,0.0308,0.0001,0.0466,0.0467,0.0003
CC037,RL-03,UNC,38,1,5.218360422,2.698970004,10931092.44,0.336,0.733,0.154,0.0223,0.656,0.0552,0.0332,0.0674,0.0175,0.347,0.246,0.107,0.0424,0.328,0.264,0.226,0.121,0.0564,0.0073,0.0587,0.0378,0.0005,0.157,0.068,0.0098,0.112,0.051,0.0025,0.0356,0.0271,0.0002,0.057,0.0371,0.0002
CC037,RL-03,UNC,39,1,5.611723308,2.755874856,4330084.034,0.208,0.697,0.166,0.0285,0.785,0.0854,0.0369,0.0479,0.0134,0.239,0.322,0.188,0.0212,0.206,0.0527,0.044,0.135,0.0787,0.008,0.0776,0.0432,0.0003,0.117,0.0712,0.0016,0.075,0.0471,0.0005,0.0451,0.0278,0.0000837,0.0716,0.0419,0.0002
CC037,RL-03,UNC,40,1,5.069421409,2.886490725,9524369.748,0.219,0.694,0.166,0.031,0.771,0.102,0.0323,0.0522,0.0174,0.371,0.406,0.108,0.0279,0.261,0.127,0.149,0.233,0.0569,0.0175,0.0862,0.0299,0.0005,0.212,0.0425,0.0064,0.143,0.0267,0.0008,0.0634,0.0222,0.000057,0.0892,0.0304,0.0002
CC010,RL-03,UNC,41,0,5.721535832,2.919078092,16694117.65,0.331,0.652,0.232,0.041,0.698,0.217,0.0227,0.0157,0.0025,0.457,0.257,0.0612,0.011,0.396,0.0455,0.0327,0.122,0.0386,0.0064,0.0372,0.0092,0.001,0.0299,0.0087,0.0002,0.0216,0.007,0.0001,0.0215,0.0056,0,0.0363,0.0073,0.0005
CC010,RL-03,UNC,42,0,5.642134635,2.841984805,21494117.65,0.263,0.622,0.19,0.0928,0.763,0.392,0.036,0.0319,0.0069,0.446,0.522,0.169,0.0405,0.647,0.0593,0.0589,0.251,0.104,0.0396,0.108,0.0315,0.0048,0.0705,0.0258,0.0048,0.0561,0.0226,0.0007,0.0594,0.0235,0.0005,0.1,0.0318,0.0021
CC010,RL-03,UNC,43,0,5.419404963,2.829303773,21715966.39,0.345,0.72,0.172,0.042,0.685,0.13,0.0337,0.015,0.0021,0.558,0.192,0.0454,0.011,0.328,0.0271,0.0164,0.0688,0.02,0.0023,0.0544,0.0127,0.0006,0.0189,0.0035,0.0005,0.0108,0.0029,0,0.0176,0.0064,0,0.0455,0.0088,0.0004
CC010,RL-03,UNC,44,0,5.5132176,3.871183608,18408403.36,0.338,0.67,0.218,0.045,0.687,0.181,0.0225,0.0186,0.0025,0.389,0.259,0.0486,0.0123,0.344,0.0358,0.0268,0.13,0.0339,0.0077,0.0662,0.0095,0.0012,0.0444,0.0931,0.001,0.0248,0.0125,0,0.029,0.0037,0,0.061,0.0066,0.0002
CC010,RL-03,UNC,45,0,5.401400541,2.447158031,14319327.73,0.483,0.738,0.193,0.0276,0.551,0.106,0.0117,0.0053,0.0007,0.371,0.133,0.0269,0.0058,0.159,0.0196,0.0154,0.0544,0.0086,0.0032,0.0258,0.0032,0.0008,0.0088,0.0015,0.0007,0.006,0.0007,0.0001,0.0083,0.0012,0,0.0222,0.0026,0.0001
CC010,RL-03,UNC,46,1,4.934498451,3.439332694,20152941.18,0.415,0.724,0.193,0.0329,0.61,0.12,0.0258,0.0378,0.0058,0.376,0.19,0.0515,0.0087,0.163,0.0332,0.02,0.117,0.0199,0.0048,0.058,0.0097,0.0012,0.0407,0.0041,0.0007,0.0292,0.0031,0,0.0347,0.0056,0,0.055,0.0088,0
CC010,RL-03,UNC,47,1,5.176091259,2.176091259,26455462.18,0.422,0.769,0.164,0.0299,0.603,0.083,0.0254,0.0458,0.0056,0.395,0.172,0.0449,0.0051,0.171,0.0164,0.0131,0.107,0.022,0.0015,0.044,0.0102,0.0005,0.0422,0.0055,0.0009,0.0291,0.0032,0.0003,0.0199,0.0052,0.0000733,0.0399,0.0106,0.0004
CC010,RL-03,UNC,48,1,5.079181246,1,20929411.76,0.485,0.683,0.252,0.0378,0.547,0.0523,0.0204,0.0208,0.003,0.435,0.0759,0.021,0.0029,0.0749,0.016,0.0129,0.064,0.0113,0.0008,0.0213,0.0051,0.001,0.0179,0.0024,0.0008,0.0117,0.0014,0.0000841,0.0108,0.0025,0,0.0215,0.0039,0.0000841
CC010,RL-03,UNC,49,1,4.72427587,1.903089987,20702521.01,0.371,0.762,0.145,0.0478,0.654,0.133,0.0372,0.067,0.02,0.318,0.224,0.058,0.0065,0.171,0.0172,0.0139,0.126,0.0408,0.0076,0.0474,0.0111,0.0007,0.0463,0.0124,0.0007,0.0356,0.0096,0.0003,0.0293,0.0084,0,0.0458,0.0099,0.0001
CC010,RL-03,UNC,50,1,5.124938737,1.77815125,19628571.43,0.413,0.712,0.215,0.036,0.617,0.0991,0.0227,0.0351,0.0053,0.321,0.162,0.0351,0.0047,0.113,0.0176,0.0114,0.0913,0.0261,0.0059,0.0481,0.0112,0.0066,0.0361,0.0076,0.0008,0.0236,0.0052,0,0.0236,0.0055,0,0.0441,0.0079,0.0011
CC042,RL-03,UNC,51,0,5.934498451,5.071882007,20556302.52,0.158,0.679,0.0171,0.158,0.867,0.202,0.0287,0.0296,0.0119,0,0.0274,0.0184,0.0077,0.0726,0.0324,0.0588,0.0162,0.0098,0.007,0.0112,0.0037,0.0063,0.0077,0.0086,0.0025,0.0027,0,0.0004,0.0008,0.0004,0,0.0054,0.0016,0.0007
CC042,RL-03,UNC,52,0,6.519827994,4.389166084,16971428.57,0.117,0.643,0.0082,0.211,0.902,0.203,0.0237,0.044,0.0059,0,0.043,0.0237,0.0074,0.105,0.101,0.0529,0.015,0.0131,0.004,0.0147,0.0027,0.003,0.0159,0.0085,0.0059,0.0025,0.0003,0,0.0006,0.0011,0,0.0056,0.0016,0.0002
CC042,RL-03,UNC,53,0,5.995635195,4.058805487,28023529.41,0.156,0.638,0.0165,0.178,0.868,0.201,0.0373,0.0511,0.009,0,0.0367,0.0225,0.0067,0.093,0.0962,0.0163,0.0232,0.0105,0.0041,0.0164,0.0015,0.0041,0.0174,0.0025,0.0044,0.0043,0,0,0.0029,0.0005,0,0.0072,0.0005,0.0006
CC042,RL-03,UNC,54,0,7.103803721,5.477121255,23939495.8,0.135,0.646,0.0195,0.213,0.885,0.182,0.021,0.0283,0.0055,0,0.0371,0.0215,0.0082,0.112,0.0937,0.0797,0.019,0.0038,0.0046,0.0082,0.0017,0.0011,0.0177,0.0051,0.0055,0.0023,0.0003,0,0.0016,0.0003,0,0.0043,0.001,0
CC042,RL-03,UNC,55,0,6.263241435,5.161368002,45584873.95,0.171,0.734,0.0166,0.145,0.856,0.155,0.0257,0.0352,0.0078,0,0.0291,0.0125,0.0021,0.0572,0.0407,0.0186,0.0148,0.0067,0.0017,0.0088,0.0009,0.0014,0.0134,0.0031,0.0021,0.0028,0,0,0.0014,0,0,0.0055,0,0
CC042,RL-03,UNC,56,1,4.491361694,4.077367905,23500840.34,0.169,0.557,0.0044,0.0977,0.86,0.279,0.0559,0.163,0.0494,0,0.0506,0.0621,0.007,0.14,0.0778,0.0991,0.0786,0.0722,0.006,0.0239,0.0193,0.0025,0.0859,0.039,0.0078,0.0147,0.0056,0.0001,0.0074,0.0068,0.0001,0.0205,0.0211,0.0007
CC042,RL-03,UNC,57,1,4.568201724,3.768391413,25926050.42,0.215,0.801,0.011,0.0428,0.819,0.165,0.0433,0.0519,0.0285,0,0.0167,0.0174,0.0073,0.0292,0.0588,0.0112,0.0081,0.0067,0.0059,0.0066,0.0024,0.0045,0.0136,0.0049,0.0053,0.0025,0.0002,0,0.0007,0,0,0.0023,0.0006,0.0011
CC042,RL-03,UNC,58,1,4.662757832,3.263241435,34053781.51,0.219,0.755,0.009,0.0483,0.809,0.171,0.0654,0.087,0.0491,0,0.0203,0.0141,0.0089,0.0987,0.0588,0.0196,0.0199,0.0161,0.0109,0.0406,0.0126,0.0048,0.0207,0.0098,0.0085,0.0036,0.0006,0.0017,0.0012,0,0.0003,0.0112,0.0043,0.0024
CC042,RL-03,UNC,59,1,4.979244778,4.025305865,19326050.42,0.237,0.79,0.0138,0.0492,0.8,0.159,0.0376,0.0221,0.0124,0,0.0185,0.0104,0.0065,0.114,0.0622,0.0431,0.0131,0.0063,0.0062,0.0006,0.0034,0.0034,0.0052,0.0047,0.0039,0.0012,0.0005,0,0,0,0,0.0003,0.0005,0.0006
CC042,RL-03,UNC,60,1,4.857332496,4.008600172,11989915.97,0.185,0.737,0.008,0.0466,0.848,0.288,0.0554,0.105,0.0605,0,0.0344,0.0278,0.0137,0.0971,0.0509,0.0244,0.0321,0.0209,0.0159,0.0103,0.0083,0.0046,0.0239,0.011,0.0087,0.0035,0.0014,0.0006,0.0033,0.0015,0.0002,0.0071,0.0063,0
C57BL6,RL-03,Jax,61,0,6.025305865,5.075546961,23097478.99,0.278,0.669,0.21,0.0283,0.751,0.562,0.0173,0.0059,0.0155,0.471,0.508,0.196,0.0811,0.491,0.0693,0.0541,0.108,0.033,0.0059,0.0487,0.0151,0.0021,0.046,0.0302,0.0019,0.0125,0.0035,0,0.0204,0.0056,0,0.041,0.0094,0.0002
C57BL6,RL-03,Jax,62,0,5.812913357,4.049218023,22154621.85,0.352,0.708,0.165,0.0268,0.678,0.241,0.0219,0.0095,0.0126,0.454,0.261,0.0837,0.0404,0.203,0.0763,0.0202,0.0762,0.0067,0.0065,0.0326,0.0067,0.0027,0.0335,0.0049,0.0035,0.0125,0.0009,0,0.0149,0.0043,0,0.0283,0.0058,0.0004
C57BL6,RL-03,Jax,63,0,5.809784098,4.423245874,27075630.25,0.332,0.651,0.199,0.0238,0.702,0.298,0.0151,0.0055,0.0025,0.489,0.226,0.109,0.0541,0.236,0.0979,0.021,0.0626,0.0179,0.0087,0.0228,0.0069,0.0017,0.0242,0.0069,0.0061,0.0083,0.0012,0.0009,0.0121,0.0035,0.0009,0.0194,0.0058,0.0009
